,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-philippe,-21.3585,55.7679,84.2,65,0,24.16,RE,1616052868
1,nizhniy kuranakh,58.8353,125.4869,23.68,80,100,5.7,RU,1616052868
2,rikitea,-23.1203,-134.9692,75.24,86,100,16.08,PF,1616052869
3,arraial do cabo,-22.9661,-42.0278,75.49,89,70,17.85,BR,1616052870
4,bilibino,68.0546,166.4372,-16.4,90,0,3.02,RU,1616052389
5,benatky nad jizerou,50.2909,14.8234,34.0,86,75,5.75,CZ,1616052871
6,jumla,29.2747,82.1838,64.09,19,56,11.1,NP,1616052872
7,cape town,-33.9258,18.4232,69.01,82,20,14.97,ZA,1616052613
8,tiksi,71.6872,128.8694,-25.2,94,100,5.91,RU,1616052873
9,port alfred,-33.5906,26.891,75.15,80,78,16.96,ZA,1616052874
10,yellowknife,62.456,-114.3525,19.4,73,75,8.05,CA,1616052770
11,carnarvon,-24.8667,113.6333,89.6,58,0,18.41,AU,1616052407
12,siena,43.2167,11.4,46.0,52,13,4.0,IT,1616052875
13,atuona,-9.8,-139.0333,80.31,78,97,11.48,PF,1616052291
14,mondovi,44.396,7.8176,41.0,65,75,3.44,IT,1616052877
15,rosita,13.9268,-84.4032,69.8,98,45,2.06,NI,1616052877
16,kavieng,-2.5744,150.7967,84.47,65,50,1.61,PG,1616052301
17,sturgeon falls,46.3646,-79.9326,33.01,100,90,6.91,CA,1616052879
18,atasu,48.6814,71.6433,25.03,75,0,5.66,KZ,1616052379
19,castro,-24.7911,-50.0119,61.34,98,90,2.51,BR,1616052880
20,vostok,46.4856,135.8833,26.28,86,100,8.28,RU,1616052544
21,shenjiamen,29.9576,122.298,54.14,79,94,4.25,CN,1616052882
22,omboue,-1.5746,9.2618,76.62,90,100,5.37,GA,1616052392
23,bethel,41.3712,-73.414,44.6,70,90,4.61,US,1616052788
24,conde,-7.2597,-34.9075,75.2,100,40,3.44,BR,1616052883
25,kaitangata,-46.2817,169.8464,49.3,76,0,1.72,NZ,1616052386
26,ushuaia,-54.8,-68.3,50.0,71,40,7.67,AR,1616052885
27,bredasdorp,-34.5322,20.0403,69.8,68,4,6.91,ZA,1616052885
28,norman wells,65.282,-126.8329,-4.0,84,75,2.3,CA,1616052362
29,ponta do sol,32.6667,-17.1,62.6,55,20,17.27,PT,1616052338
30,punta arenas,-53.15,-70.9167,48.2,71,0,18.41,CL,1616052799
31,kitui,-1.367,38.0106,80.02,51,99,5.3,KE,1616052889
32,alto araguaia,-17.3147,-53.2153,68.76,91,100,4.03,BR,1616052889
33,aras,42.5617,-2.356,44.01,81,75,8.05,ES,1616052890
34,kapaa,22.0752,-159.319,70.0,78,40,21.85,US,1616052891
35,belaya gora,68.5333,146.4167,-18.49,90,100,10.89,RU,1616052891
36,sitka,57.0531,-135.33,37.4,65,90,5.75,US,1616052463
37,rancho palos verdes,33.7445,-118.387,53.01,91,81,6.31,US,1616052846
38,mandalgovi,45.7625,106.2708,31.69,36,100,15.68,MN,1616052893
39,mahebourg,-20.4081,57.7,84.2,58,40,11.5,MU,1616052894
40,mataura,-46.1927,168.8643,55.0,79,0,4.0,NZ,1616052895
41,tuquerres,1.0923,-77.6209,44.35,93,100,2.04,CO,1616052896
42,dikson,73.5069,80.5464,-6.88,91,100,11.1,RU,1616052897
